ID,SITE,2a,2b,3a,3b,4a,4b,4c,4d,nd
1,BjFr-4,0,47,0,0,0,0,2,2,0
2,BjFr-5,0,10,0,0,0,2,0,0,0
3,BjFs-0,0,0,0,0,1,0,0,0,0
4,BjFs-10,0,1,0,0,0,0,0,0,0
5,BjFs-12,0,5,0,0,0,0,0,0,0
6,BjFs-13,0,0,0,0,1,0,1,0,0
7,BjFs-17,0,5,0,0,0,0,0,1,0
8,BjFs-21,0,45,0,0,0,0,0,1,0
9,BjFs-22,0,4,0,0,0,0,0,0,0
10,BjFs-23,0,80,0,0,2,0,0,0,0
11,BjFs-4,0,8,0,0,0,0,1,1,0
12,BjFs-5,0,300,0,0,2,0,4,1,0
13,BjFs-6,0,62,0,0,0,2,2,4,0
14,BjFs-7,0,1329,4,1,6,6,26,5,0
15,BjFs-8,0,0,0,0,0,1,0,0,0
16,BjFs-9,0,0,0,0,0,1,0,0,0
17,BjFs-e,0,4,0,0,0,0,0,0,0
18,BjFs-f,0,2,0,0,0,0,0,0,0
19,CbFv-1,0,31,0,0,0,0,0,2,0
20,CbFv-2,0,8,0,0,0,0,0,0,0
21,CcFr-1,2,1986,3,0,4,8,60,2,4
22,CcFr-2,0,82,0,0,0,0,1,0,0
23,CcFr-3,0,62,0,0,1,1,3,0,0
24,CcFr-4,0,1,0,0,0,0,0,0,0
25,CcFr-5,0,35,0,0,1,0,0,0,0
26,CcFr-6,0,1,0,0,0,0,0,0,0
27,CcFr-7,0,6,0,0,0,0,0,0,0
28,CcFr-8,0,19,0,0,0,0,0,0,0
29,CcFs-1,0,12,0,0,0,0,0,0,0
30,CcFs-2,1,10,0,0,1,0,0,1,0
31,CcFs-5,0,35,1,0,0,0,2,0,0
32,CcFv-1,0,1093,5,0,1,1,11,2,0
33,CcFv-3,0,1,1,0,1,0,0,0,0
34,CdFu-1,0,0,0,0,1,0,0,0,0
35,CfFp-10,0,1,0,0,0,0,0,0,0
36,CfFp-7,0,0,1,0,0,0,0,0,0
37,CfFq-1,0,5,0,0,0,0,2,0,0
38,CfFq-5,0,0,0,0,0,0,1,0,1
39,CfFq-6,0,6,2,0,0,1,0,0,0
40,CfFq-9,0,1,0,0,0,0,0,0,0
41,CgFs-2,0,26,0,0,0,0,0,0,0
42,CgFs-3,0,1,0,0,0,0,0,0,0
43,ChFp-1,0,11,1,0,2,1,5,1,0
44,ChFp-4,0,1,0,0,0,0,0,0,0
45,CiFp-12,0,124,1,0,4,5,16,2,0
46,CiFp-20,0,371,1,0,2,3,55,1,1
47,CiFp-23,0,1,0,1,1,2,3,0,0
48,CiFp-25,0,2,0,0,0,0,0,0,0
49,CiFp-26,0,1,0,0,0,0,0,0,0
50,CiFp-27a,0,44,1,0,4,1,15,1,0
51,CiFp-27b,0,38,0,0,1,2,15,2,1
52,CiFp-28,0,58,0,0,0,0,4,0,3
53,CiFp-40,0,35,0,0,1,1,12,0,0
54,CiFp-41,0,72,0,1,1,0,2,4,0
55,CiFp-47,0,342,1,0,5,5,11,0,0
56,CiFp-49,0,0,0,0,1,3,4,1,0
57,CiFp-5,0,4,0,0,2,0,1,0,0
58,CiFp-50,0,3,0,0,2,0,4,0,0
59,CiFp-51,0,0,1,0,0,2,4,0,0
60,CiFp-55,0,15,0,0,0,1,2,0,0
61,CiFp-57,0,12,0,0,1,0,1,0,0
62,CiFp-58,0,126,0,0,0,3,2,0,0
63,CiFp-63,0,6,0,0,0,0,0,0,0
64,CiFp-64,0,0,0,0,1,0,0,0,0
65,CiFp-65,0,2,0,0,0,1,2,0,0
66,CiFp-66,0,1,0,0,0,0,0,0,0
67,CiFp-69,0,1,0,0,0,2,2,0,0
68,CiFp-71,0,5,0,0,0,0,0,0,0
69,CiFq-9,0,26,0,0,0,0,0,0,0
70,CiFs-11,0,2,0,0,0,0,0,0,0
71,CiFs-14,0,1,0,0,0,0,0,0,0
72,CiFs-20,0,0,0,0,0,0,1,0,0
73,CiFs-22,0,6,0,0,0,0,1,0,0
74,CiFs-38,0,0,0,0,1,0,0,0,0
75,CiFs-56,0,1,0,0,0,0,0,0,0
76,CiFs-7,0,7,0,0,1,0,1,1,0
77,CiFs-9,0,0,0,0,0,0,1,0,1
78,CjFo-1,0,619,7,0,7,11,105,6,0
79,CkFp-1,0,0,0,0,0,0,1,0,0
80,CkFq-3,0,1,0,0,0,0,0,0,0
